Model unknown

  Variables:
    x : Size=38080, Index=x_index
        Key                                : Lower : Value : Upper : Fixed : Stale : Domain
                  ('45', 'Goe', 'HSU', 11) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 12) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 13) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 14) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 15) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 16) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 17) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 18) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 19) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 20) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 21) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 22) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 23) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 24) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 25) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 26) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 27) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 28) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 29) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 30) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 31) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 32) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 33) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 34) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 35) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 36) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 37) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 38) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 39) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'HSU', 40) :     0 :  None :     1 : False :  True : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 1) :     0 :   0.0 :     1 : False : False : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 2) :     0 :   0.0 :     1 : False : False : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 3) :     0 :   0.0 :     1 : False : False : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 4) :     0 :   0.0 :     1 : False : False : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 5) :     0 :   0.0 :     1 : False : False : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 6) :     0 :   0.0 :     1 : False : False : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 7) :     0 :  None :     1 : False :  True : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 8) :     0 :  None :     1 : False :  True : Boolean
            ('45', 'Goe', 'HSU/Nu/GPG', 9) :     0 :  None :     1 : False :  True : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 10) :     0 :   0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 11) :     0 :  -0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 12) :     0 :   0.0 :     1 : False : False : Boolean
           ('45', 'Goe', 'HSU/Nu/GPG', 13) :     0 :  -0.0 :     1 : False : False : Boolean
